path,name,theme,imageType,pose,dype,band_move,run
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_dur.tif,dur_img,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_idx_mag.tif,idx_Mag,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcb_mag.tif,tcb_Mag,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcg_mag.tif,tcg_Mag,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcw_mag.tif,tcw_Mag,con,difference,none,int,000,1
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcb_pre.tif,tcb_Pre,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcg_pre.tif,tcg_Pre,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcw_pre.tif,tcw_Pre,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcb_post.tif,tcb_Pst,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcg_post.tif,tcg_Pst,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_tc_mag_post_pre\\ENC-11-19852020-06010930-v01-vloss_idx_1250.0-col_0.0-change_tcw_post.tif,tcw_Pst,con,difference,none,int,000,0
E:\\v1\\al_nps\\MISS\\miss_fitted_tc\\ENC-11-19852020-06010930-v01-ftv_tcb.tif,tcb,con,annual,pst,int,001,0
E:\\v1\\al_nps\\MISS\\miss_fitted_tc\\ENC-11-19852020-06010930-v01-ftv_tcg.tif,tcg,con,annual,pst,int,001|003|007|015,0
E:\\v1\\al_nps\\MISS\\miss_fitted_tc\\ENC-11-19852020-06010930-v01-ftv_tcw.tif,tcw,con,annual,pst,int,001|003|007|015,0
E:\\v1\\al_nps\\MISS\\miss_fitted_index\\MISS_ftv_ENC.tif,encPre,con,annual,pre,int,001|003,0
E:\\v1\\al_nps\\MISS\\miss_fitted_index\\MISS_ftv_ENC.tif,encPst,con,annual,pst,int,001|002|003,0
E:\\v1\\al_nps\\MISS\\miss_fitted_reflectance\\MISS_b1.tif,b1Pst,con,annual,pst,int,001|003|007|015,0
E:\\v1\\al_nps\\MISS\\miss_fitted_reflectance\\MISS_b2.tif,b2Pst,con,annual,pst,int,001|003|007|015,0
E:\\v1\\al_nps\\MISS\\miss_fitted_reflectance\\MISS_b3.tif,b3Pre,con,annual,pre,int,000|001|003,1
E:\\v1\\al_nps\\MISS\\miss_fitted_reflectance\\MISS_b4.tif,b4Pst,con,annual,pst,int,000|001|003,1
E:\\v1\\al_nps\\MISS\\miss_fitted_reflectance\\MISS_b5.tif,b5Pst,con,annual,pst,int,001|003|007|015,0
E:\\v1\\al_nps\\MISS\\miss_fitted_reflectance\\MISS_b7.tif,b7Pst,con,annual,pst,int,001|003|007|015,0
